1,Create Purchase Order,Add,1,1,/purchaseorder/create,1,Create Purchase Order Trsansactions,2024-06-12 00:00:00,2024-06-12 00:00:00,12
2,Create Sales Order,Add,1,1,createso,1,Create Sales Order Trsansactions,2024-06-12 00:00:01,2024-06-12 00:00:01,13
3,Create Sales Shipment,Add,0,1,createshipment,1,Create Sales Order Shipment Trsansactions,2024-06-12 00:00:02,2024-06-12 00:00:02,13
4,Create Purchase Inward,Add,0,1,createinward,1,Create Purchase Order Inward Trsansactions,2024-06-12 00:00:03,2024-06-12 00:00:03,12
5,Create Customer,Add,1,1,/customer/create,1,Create Customer,2024-06-12 00:00:04,2024-06-12 00:00:04,14
6,Manage Sales Order,Dashboard,1,1,salesorder,0,Manage Sales Order,2024-06-12 00:00:05,2024-06-12 00:00:05,13
7,Manage Purchase Order,Dashboard,1,1,purchaseorder,0,Manage Purchase Order,2024-06-12 00:00:06,2024-06-12 00:00:06,12
8,Manage Customer,Dashboard,1,1,customers,0,Manage Customer,2024-06-12 00:00:07,2024-06-12 00:00:07,14
9,Edit Customer,Edit,0,1,editcustomers,0,Edit Customer,2024-06-12 00:00:08,2024-06-12 00:00:08,14
10,Edit Purchase Order,Edit,0,1,editpo,0,Edit Purchase Order,2024-06-12 00:00:09,2024-06-12 00:00:09,12
11,Edit Sales Order,Edit,0,1,editso,0,Edit Sales Order,2024-06-12 00:00:10,2024-06-12 00:00:10,13
12,Purchase Order,Store,1,1,#,3,Purchase Order,2024-06-12 00:00:11,2024-06-12 00:00:11,NULL
13,Sales Order,ShoppingCart,1,1,#,4,Sales Order,2024-06-12 00:00:12,2024-06-12 00:00:12,NULL
14,Customer,AccountCircle,1,1,#,1,Customer,2024-06-12 00:00:13,2024-06-12 00:00:13,NULL
15,Supplier,GroupAdd,1,1,#,2,Supplier,2024-06-12 00:00:14,2024-06-12 00:00:14,NULL
16,Inventory,Inventory,1,1,#,5,Inventory,2024-06-12 00:00:15,2024-06-12 00:00:15,NULL
17,Invoices,Receipt,1,1,#,8,Invoices,2024-06-12 00:00:16,2024-06-12 00:00:16,NULL
18,Settings,Settings,1,1,settings,13,Settings,2024-06-12 00:00:17,2024-06-12 00:00:17,NULL
19,Products,Redeem,1,1,#,7,Products,2024-06-12 00:00:18,2024-06-12 00:00:18,NULL
20,Create Supplier,Add,1,1,/suppliers/create,1,NULL,2024-06-12 00:00:19,2024-06-12 00:00:19,15
21,Manage Supplier,NULL,1,1,NULL,0,NULL,2024-06-12 00:00:20,2024-06-12 00:00:20,15
22,Edit Supplier,NULL,0,1,NULL,0,NULL,2024-06-12 00:00:21,2024-06-12 00:00:21,15
23,Create Invoices,Add,1,1,NULL,1,NULL,2024-06-12 00:00:22,2024-06-12 00:00:22,17
24,Manage Invoices,NULL,1,1,NULL,0,NULL,2024-06-12 00:00:23,2024-06-12 00:00:23,17
25,Manage Stocks,NULL,1,1,NULL,0,NULL,2024-06-12 00:00:24,2024-06-12 00:00:24,16
26,Add Stocks,Add,1,1,NULL,1,NULL,2024-06-12 00:00:25,2024-06-12 00:00:25,16
27,Add Products,Add,1,1,/product/create,1,NULL,2024-06-12 00:00:26,2024-06-12 00:00:26,19
28,Manage Products,NULL,1,1,NULL,0,NULL,2024-06-12 00:00:27,2024-06-12 00:00:27,19
29,Edit Products,NULL,0,1,NULL,0,NULL,2024-06-12 00:00:28,2024-06-12 00:00:28,19
30,Edit Stocks,NULL,0,1,NULL,0,NULL,2024-06-12 00:00:29,2024-06-12 00:00:29,16
31,Rollback PO Inward,NULL,0,1,NULL,0,NULL,2024-06-12 00:00:30,2024-06-12 00:00:30,12
32,Rollback SO Outward,NULL,0,1,NULL,0,NULL,2024-06-12 00:00:31,2024-06-12 00:00:31,13
33,Create Users,Add,1,1,createusers,1,Create Users,2024-06-12 00:00:32,2024-06-12 00:00:32,35
34,Manage Users,Dashboard,1,1,manageusers,0,Create Users,2024-06-12 00:00:33,2024-06-12 00:00:33,35
35,Users,AdminPanelSettings,1,1,#,10,Users,2024-06-12 00:00:34,2024-06-12 00:00:34,NULL
36,Warehouse,Warehouse,1,1,#,9,Warehouse,2024-06-12 00:00:35,2024-06-12 00:00:35,NULL
37,Add Warehouse,Add,1,1,warehouse/create,1,Add Warehouse,2024-06-12 00:00:36,2024-06-12 00:00:36,36
38,Edit Warehouse,Edit,0,1,editwarehouse,0,Edit Warehouse,2024-06-12 00:00:37,2024-06-12 00:00:37,36
39,Manage Warehouse,Dashboard,1,1,warehouses,0,Manage Warehouse,2024-06-12 00:00:38,2024-06-12 00:00:38,36
40,Edit Users,Edit,0,1,editusers,0,Edit Users,2024-06-12 00:00:39,2024-06-12 00:00:39,35
41,Edit Category,Edit,0,1,editcategory,0,Edit Category,2024-06-12 00:00:40,2024-06-12 00:00:40,44
42,Add Category,Add,1,1,/category/create,1,Add Category,2024-06-12 00:00:41,2024-06-12 00:00:41,44
43,Manage Category,Dashboard,1,1,category,0,Manage Category,2024-06-12 00:00:42,2024-06-12 00:00:42,44
44,Category,Category,1,1,#,6,Category,2024-06-12 00:00:43,2024-06-12 00:00:43,NULL
45,Dashboard,grid,1,1,#,-1,Dashboard,2024-06-12 00:00:44,2024-06-12 00:00:44,NULL
46,Analytics,activity,1,1,analytics,0,Analytics,2024-06-12 00:00:45,2024-06-12 00:00:45,45
47,Retail Sales,ShoppingCart,1,1,#,4,Retail Sales,2024-06-12 00:00:46,2024-06-12 00:00:46,NULL
48,Create Retail Order,Add,1,1,#,4,Create Retail Order,2024-06-12 00:00:47,2024-06-12 00:00:47,47
49,Manage Retail Order,Dashboard,1,1,#,4,Manage Retail Order,2024-06-12 00:00:48,2024-06-12 00:00:48,47
